,u1,u2,distance
0,habiba,adil,3.0208305199115273
1,habiba,Riyad,2.367976186488688
2,habiba,Mahizar,2.5581678331742297
3,habiba,anar,2.139911544809972
4,habiba,Lala,1.7984487923156383
5,habiba,Riyad Abdurahimov,3.647340067121012
6,adil,Riyad,1.1894473063670794
7,adil,Mahizar,1.8586653140561544
8,adil,Lala,1.6888286259997023
9,adil,Riyad Abdurahimov,1.594503378512386
10,Riyad,Mahizar,1.8576937891314775
11,Riyad,Lala,1.1700899973005925
12,Mahizar,Lala,1.780948631505651
13,lala taghiyeva,habiba,2.296165305512107
14,lala taghiyeva,adil,1.7629483759273619
15,lala taghiyeva,Riyad,0.8805334016179832
16,lala taghiyeva,Mahizar,2.1099076667644834
17,lala taghiyeva,anar,1.1604752509322411
18,lala taghiyeva,Lala,1.255200534703522
19,lala taghiyeva,Riyad Abdurahimov,2.3844548246953603
20,lala taghiyeva,ilyas,1.6752591345211847
21,anar,adil,1.7086777785374578
22,anar,Riyad,1.026915138660993
23,anar,Mahizar,1.7885332904581166
24,anar,Lala,1.0678186578522657
25,anar,Riyad Abdurahimov,2.130406554334484
26,madina,habiba,1.6844136735824664
27,madina,adil,2.8174284933521747
28,madina,Riyad,2.1294410375198427
29,madina,Mahizar,2.6263076356576525
30,madina,lala taghiyeva,1.865674555330922
31,madina,anar,2.2321535513668573
32,madina,Lala,2.1201685410148894
33,madina,Riyad Abdurahimov,3.602332834014665
34,madina,ilyas,2.6116633601109616
35,Riyad Abdurahimov,Riyad,1.9836148930832904
36,Riyad Abdurahimov,Mahizar,2.41665227267949
37,Riyad Abdurahimov,Lala,2.482319274556601
38,yusif,habiba,1.4944968723708254
39,yusif,adil,2.2397497102841024
40,yusif,Riyad,1.4509616201501538
41,yusif,Mahizar,2.0922968919498963
42,yusif,lala taghiyeva,1.3724596169989358
43,yusif,anar,1.0984574410677548
44,yusif,Lala,0.9176573500389855
45,yusif,madina,1.7620742358759645
46,yusif,Riyad Abdurahimov,2.7948128217367976
47,yusif,ilyas,2.221991136875123
48,ilyas,habiba,3.021973945203735
49,ilyas,adil,1.4241683209897327
50,ilyas,Riyad,1.551402195326205
51,ilyas,Mahizar,1.3425322086818938
52,ilyas,anar,1.6739721127673752
53,ilyas,Lala,1.9601617415437111
54,ilyas,Riyad Abdurahimov,1.6300430181312373
